time	wallclock_time	start_span	g_sum	f_sum	frac_compute	arg_size_mbs	res_size_mbs	num_workers
15-10-2023 01:53:15	361.673487	0.022502	49759.270878	15155.956878	1.812987	5.728912	5.728912	99
15-10-2023 01:59:03	347.603588	0.072806	17550.836100	15195.265628	0.951569	5.728912	5.728912	99
15-10-2023 02:11:16	732.370601	0.069682	13439.513008	2536.912054	0.220350	5.728912	5.728912	99
15-10-2023 02:22:08	652.851156	0.051072	49580.021685	2543.676497	0.806466	5.728912	5.728912	99
15-10-2023 02:28:11	362.219654	0.021881	49246.689042	15148.043602	1.795739	5.728912	5.728912	99
15-10-2023 02:33:50	339.496316	0.064220	17283.251146	15054.783167	0.962151	5.728912	5.728912	99
15-10-2023 02:44:44	653.383024	0.093078	13120.117476	2547.542418	0.242215	5.728912	5.728912	99
15-10-2023 02:50:45	361.703722	0.054487	52224.243236	15169.196232	1.882043	5.728912	5.728912	99
15-10-2023 02:56:27	341.149089	0.070719	16592.795497	15060.496719	0.937216	5.728912	5.728912	99
15-10-2023 03:07:14	647.012615	0.075915	12836.691121	2518.353849	0.239719	5.728912	5.728912	99
15-10-2023 03:13:17	363.364064	0.056511	48413.287848	15157.831664	1.767188	5.728912	5.728912	99
15-10-2023 03:18:57	339.407600	0.072426	16418.378686	15024.530600	0.935763	5.728912	5.728912	99
15-10-2023 03:29:41	644.528967	0.071147	13220.889379	2499.378813	0.246367	5.728912	5.728912	99
15-10-2023 03:35:44	362.521562	0.048771	49342.338472	15170.134603	1.797524	5.728912	5.728912	99
15-10-2023 03:41:24	340.528826	0.073206	16042.920519	15032.384264	0.921778	5.728912	5.728912	99
15-10-2023 03:52:09	644.191833	0.054434	13081.802688	2498.814839	0.244306	5.728912	5.728912	99
15-10-2023 03:58:11	362.267103	0.027864	50807.275123	15156.212334	1.839245	5.728912	5.728912	99
15-10-2023 04:03:53	342.343772	0.071690	19438.299165	15024.551539	1.016842	5.728912	5.728912	99
15-10-2023 04:14:37	644.042268	0.087815	12903.851955	2506.147395	0.241687	5.728912	5.728912	99
15-10-2023 04:25:21	643.646053	0.010570	49341.988807	2506.385357	0.813678	5.728912	5.728912	99
15-10-2023 04:31:23	362.405874	0.059448	50121.506181	15153.521374	1.819352	5.728912	5.728912	99
15-10-2023 04:37:03	339.859063	0.065611	21169.428363	15024.909507	1.075738	5.728912	5.728912	99
15-10-2023 04:47:54	650.639316	0.081393	12833.428439	2534.049835	0.238576	5.728912	5.728912	99
15-10-2023 04:53:57	362.818869	0.056150	50860.235579	15130.153989	1.837197	5.728912	5.728912	99
15-10-2023 04:59:40	342.856511	0.081163	17243.644232	15053.936121	0.951530	5.728912	5.728912	99
15-10-2023 05:10:30	650.413879	0.098747	12923.176532	2532.786271	0.240033	5.728912	5.728912	99
15-10-2023 05:16:33	362.281421	0.057356	51572.807047	15132.977506	1.859869	5.728912	5.728912	99
15-10-2023 05:22:14	341.425464	0.063137	17018.745907	15052.237192	0.948814	5.728912	5.728912	99
15-10-2023 05:33:06	651.464006	0.077187	12998.168704	2538.087345	0.240891	5.728912	5.728912	99
15-10-2023 05:39:07	361.491321	0.058015	49391.597706	15144.930819	1.803319	5.728912	5.728912	99
15-10-2023 05:44:47	340.085427	0.067735	18605.657358	15055.258049	0.999776	5.728912	5.728912	99
15-10-2023 05:55:39	651.366008	0.087956	13341.196404	2537.959705	0.246245	5.728912	5.728912	99
15-10-2023 06:01:35	355.873302	0.050402	50700.917919	15113.762379	1.868066	5.728912	5.728912	99
15-10-2023 06:07:18	343.531433	0.072161	16887.908629	15089.357870	0.940242	5.728912	5.728912	99
15-10-2023 06:18:10	651.348935	0.081882	13433.165042	2538.267304	0.247682	5.728912	5.728912	99
15-10-2023 06:24:07	357.845047	0.053543	48496.126448	15121.585745	1.795758	5.728912	5.728912	99
15-10-2023 06:29:50	342.453791	0.079555	16771.904798	15084.138435	0.939625	5.728912	5.728912	99
